PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z
14725	10048421	-2.240644	0.723796	9.735267	0.041042	0.353593	0.027901	-0.005591	0.001808	0.024341
14726	10048446	-1.725245	0.733977	9.569635	0.030959	0.392802	0.041054	-0.004301	0.001834	0.023926
14727	10048471	-1.881830	0.312547	9.747455	-0.004750	0.413044	0.056732	-0.004692	0.000781	0.024371
14728	10048496	-1.876969	0.511349	9.555498	-0.005488	0.417417	0.069007	-0.004680	0.001278	0.023891
14729	10048521	-2.088030	0.636960	9.797589	-0.007665	0.439902	0.086851	-0.005207	0.001592	0.024497
14730	10048546	-2.369492	0.551146	9.955125	-0.008959	0.470138	0.120355	-0.005909	0.001377	0.024891
14731	10048571	-2.169164	0.645422	9.747028	-0.004424	0.499202	0.155967	-0.005408	0.001613	0.024371
14732	10048596	-1.848372	0.418891	9.636208	-0.008596	0.515519	0.187835	-0.004606	0.001046	0.024093
14733	10048621	-2.041758	0.594188	9.409651	-0.060771	0.536014	0.222552	-0.005089	0.001486	0.023527
14734	10048646	-2.261834	0.874984	10.107725	-0.153214	0.556316	0.280492	-0.005638	0.002190	0.025273
14735	10048671	-2.518400	0.773008	10.181631	-0.185460	0.561160	0.313517	-0.006279	0.001936	0.025458
14736	10048696	-2.537226	0.868557	10.051705	-0.169897	0.590547	0.346142	-0.006325	0.002174	0.025133
14737	10048721	-2.384696	0.438611	9.929488	-0.139283	0.629599	0.354379	-0.005943	0.001098	0.024828
14738	10048746	-2.244448	0.346464	9.938572	-0.084603	0.650463	0.358488	-0.005591	0.000866	0.024851
14739	10048771	-2.207830	0.642548	9.802816	-0.016475	0.659318	0.379972	-0.005500	0.001604	0.024512
14740	10048796	-2.324665	0.356065	9.557414	0.021023	0.675169	0.408262	-0.005792	0.000887	0.023898
14741	10048821	-2.356510	0.513580	9.717287	0.024776	0.693768	0.440052	-0.005871	0.001280	0.024298
14742	10048846	-2.284933	0.528639	9.712039	0.008976	0.715932	0.480475	-0.005691	0.001318	0.024285
14743	10048871	-2.206449	0.595826	9.754824	-0.021635	0.773110	0.529342	-0.005494	0.001487	0.024392
14744	10048896	-2.303724	0.630076	10.145392	-0.063738	0.836690	0.580973	-0.005734	0.001573	0.025369
14745	10048921	-2.377908	0.524912	9.968320	-0.116326	0.887482	0.635264	-0.005918	0.001311	0.024927
