PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
09236	14739851	-2.642254	0.125030	9.454115	-0.026861	-0.026381	0.001571	39.978643452	116.338923873	46.125313
09237	14739876	-2.682115	0.170535	9.438270	-0.031459	-0.028199	0.000595	39.978643451	116.338923874	46.125220
09238	14739901	-2.681999	0.264066	9.453216	-0.034341	-0.031272	0.005206	39.978643451	116.338923874	46.125127
09239	14739926	-2.701531	0.201990	9.498233	-0.032274	-0.031190	0.002719	39.978643450	116.338923875	46.125035
09240	14739951	-2.707186	0.155047	9.535339	-0.022300	-0.032873	-0.003208	39.978643449	116.338923876	46.124943
09241	14739976	-2.670206	0.018686	9.548219	-0.019337	-0.030863	-0.007689	39.978643448	116.338923877	46.124852
09242	14740001	-2.645585	-0.149161	9.530381	-0.029552	-0.029780	-0.000076	39.978643447	116.338923877	46.124761
09243	14740026	-2.622165	-0.195806	9.494313	-0.021012	-0.029613	0.007313	39.978643446	116.338923878	46.128852
09244	14740051	-2.652291	-0.133781	9.471897	-0.011122	-0.025021	0.011390	39.978643446	116.338923879	46.128765
09245	14740076	-2.645337	-0.041644	9.496144	-0.000775	-0.028241	0.015798	39.978643445	116.338923879	46.128678
09246	14740101	-2.648009	0.050510	9.505757	-0.007069	-0.029421	0.016557	39.978643444	116.338923880	46.128592
09247	14740126	-2.632740	0.115153	9.520633	-0.001004	-0.031142	0.011796	39.978643443	116.338923881	46.128506
09248	14740151	-2.616113	0.146927	9.488801	-0.006722	-0.033529	0.011998	39.978643442	116.338923881	46.128421
09249	14740176	-2.576059	0.111332	9.434156	-0.011761	-0.032221	0.010645	39.978643441	116.338923882	46.128335
09250	14740201	-2.552621	0.066058	9.398083	-0.016324	-0.028951	0.009231	39.978643441	116.338923883	46.128249
09251	14740226	-2.562372	0.015049	9.419203	-0.012305	-0.031517	0.015022	39.978643440	116.338923883	46.127598
09252	14740251	-2.563755	0.010890	9.423186	-0.003117	-0.028497	0.015278	39.978643439	116.338923884	46.127511
09253	14740276	-2.539058	-0.013953	9.444404	-0.005990	-0.028211	0.013006	39.978643438	116.338923885	46.127424
09254	14740301	-2.569354	0.039626	9.463185	-0.000964	-0.022101	0.012971	39.978643437	116.338923885	46.127337
09255	14740326	-2.568028	0.050542	9.492495	-0.006956	-0.022772	0.013679	39.978643436	116.338923886	46.127251
09256	14740351	-2.576073	0.101666	9.440777	-0.000155	-0.021407	0.013041	39.978643435	116.338923887	46.127164
09257	14740376	-2.584286	0.136128	9.430231	-0.007050	-0.023945	0.015432	39.978643435	116.338923888	46.127077
09258	14740401	-2.617339	0.111442	9.412840	-0.006747	-0.024363	0.013116	39.978643434	116.338923888	46.126990
09259	14740426	-2.629845	0.092066	9.440710	-0.004479	-0.020207	0.012757	39.978643433	116.338923889	46.129054
09260	14740451	-2.631338	0.082258	9.479256	-0.009000	-0.025427	0.013538	39.978643432	116.338923890	46.128968
09261	14740476	-2.605099	0.107057	9.472702	-0.008619	-0.026530	0.011541	39.978643431	116.338923890	46.128883
