PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
03697	35496324	-9.213587	0.639461	12.713644	0.547131	-6.183250	2.611416	39.979373659	116.338911803	46.303532
03698	35496349	-9.293274	0.076475	12.416640	0.605022	-6.129722	2.580726	39.979373697	116.338911804	46.303897
03699	35496374	-9.405988	-0.367641	12.279351	0.665105	-6.068421	2.538047	39.979373734	116.338911805	46.304293
03700	35496399	-9.527546	-0.688218	12.251531	0.725884	-5.994299	2.490085	39.979373773	116.338911807	46.304726
03701	35496424	-9.758248	-0.845136	12.249546	0.774423	-5.916369	2.438013	39.979373811	116.338911809	46.305194
03702	35496449	-9.948548	-0.881063	12.299901	0.829810	-5.834538	2.381831	39.979373849	116.338911811	46.305698
03703	35496474	-10.118721	-0.788078	12.455746	0.867634	-5.744512	2.328741	39.979373887	116.338911813	46.212370
03704	35496499	-10.229300	-0.678890	12.704721	0.920789	-5.659685	2.263428	39.979373925	116.338911815	46.212931
03705	35496524	-10.496107	-0.454443	13.023195	0.963620	-5.558601	2.202861	39.979373963	116.338911818	46.213534
03706	35496549	-10.672156	-0.313020	13.522549	1.006735	-5.469722	2.149080	39.979374002	116.338911820	46.214181
03707	35496574	-10.720982	-0.151980	13.925170	1.054627	-5.391134	2.093797	39.979374040	116.338911823	46.214890
03708	35496599	-10.907514	0.228547	14.378696	1.102803	-5.315582	2.033843	39.979374078	116.338911825	46.215634
03709	35496624	-11.140758	0.460603	14.977937	1.139387	-5.227288	2.000696	39.979374117	116.338911828	46.216432
03710	35496649	-11.419885	0.873378	15.680509	1.169505	-5.163550	1.963816	39.979374155	116.338911831	46.217287
03711	35496674	-11.848328	1.334728	16.312295	1.201706	-5.097532	1.925651	39.979374194	116.338911833	46.162147
03712	35496699	-12.304539	1.766550	17.152859	1.225437	-5.039352	1.894647	39.979374232	116.338911836	46.163119
03713	35496724	-12.860156	2.299020	18.007426	1.244394	-4.988481	1.869097	39.979374271	116.338911839	46.164164
03714	35496749	-13.298627	2.929820	18.961688	1.262804	-4.952694	1.858498	39.979374310	116.338911841	46.165290
03715	35496774	-13.916311	3.536965	20.018171	1.267295	-4.930318	1.850388	39.979374349	116.338911844	46.166540
03716	35496799	-14.470365	4.115563	20.992098	1.257903	-4.902732	1.854896	39.979374388	116.338911846	46.167850
03717	35496824	-14.986841	4.767298	21.911679	1.246821	-4.886883	1.869369	39.979374427	116.338911849	46.169262
03718	35496849	-15.657153	5.377290	22.619614	1.231985	-4.885178	1.888742	39.979374466	116.338911851	46.170784
03719	35496874	-16.211087	5.973269	23.047080	1.222946	-4.890664	1.918758	39.979374505	116.338911853	46.154872
03720	35496899	-16.661588	6.511522	23.393360	1.202341	-4.904842	1.967093	39.979374545	116.338911855	46.156622
03721	35496924	-17.010938	7.028865	23.483947	1.166405	-4.920846	2.024727	39.979374584	116.338911856	46.158494
03722	35496949	-17.298278	7.478949	23.507940	1.139709	-4.935792	2.078280	39.979374624	116.338911857	46.160490
03723	35496974	-17.508702	7.993350	23.248902	1.115890	-4.949514	2.126240	39.979374664	116.338911858	46.162613
03724	35496999	-17.644326	8.075558	23.358985	1.053185	-4.976924	2.194403	39.979374704	116.338911858	46.164855
03725	35497024	-18.122270	7.937412	23.112063	1.065403	-4.994051	2.243389	39.979374743	116.338911857	46.167222
03726	35497049	-18.886931	7.887623	22.903717	1.066346	-5.004099	2.291612	39.979374783	116.338911857	46.169712
03727	35497074	-19.569766	7.410677	22.404423	1.048036	-5.027737	2.380962	39.979374823	116.338911855	46.129334
03728	35497099	-20.107874	6.663203	21.787237	1.019524	-5.070162	2.470529	39.979374863	116.338911853	46.132057
03729	35497124	-20.425758	6.198894	20.812041	0.996333	-5.097005	2.543072	39.979374902	116.338911850	46.134897
03730	35497149	-20.548782	5.632497	19.569185	0.936037	-5.111231	2.605244	39.979374941	116.338911847	46.137847
03731	35497174	-20.500835	4.875165	17.838981	0.849198	-5.127337	2.650401	39.979374980	116.338911843	46.140858
03732	35497199	-20.163486	4.311373	15.923387	0.762888	-5.115698	2.680762	39.979375018	116.338911838	46.143999
03733	35497224	-20.046748	3.309734	13.938874	0.631783	-5.097320	2.713965	39.979375057	116.338911833	46.147215
