PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
41121	36413624	-2.079216	0.881459	9.452342	-0.007571	0.031005	-0.006111	39.979427449	116.338893678	46.870304
41122	36413649	-2.061171	0.940662	9.441925	-0.009415	0.034076	-0.008070	39.979427448	116.338893677	46.870270
41125	36413674	-2.099681	0.986175	9.426073	-0.007468	0.036322	-0.005740	39.979427559	116.338893493	46.876060
41126	36413699	-2.128782	0.972141	9.489857	-0.010999	0.036684	-0.011162	39.979427559	116.338893492	46.876036
41127	36413724	-2.117784	0.963859	9.499163	-0.007732	0.037073	-0.006370	39.979427558	116.338893491	46.876013
41128	36413749	-2.072325	0.923988	9.483094	-0.007954	0.037609	-0.008439	39.979427557	116.338893490	46.875989
41129	36413774	-2.054307	0.911815	9.433833	-0.008610	0.039870	-0.013526	39.979427556	116.338893489	46.875964
41130	36413799	-2.084598	0.936558	9.439234	-0.004460	0.041492	-0.006597	39.979427555	116.338893488	46.875939
41131	36413824	-2.081683	1.002702	9.406195	-0.010635	0.042759	-0.015050	39.979427554	116.338893487	46.875914
41132	36413849	-2.033491	0.946363	9.391398	-0.016271	0.044669	-0.010768	39.979427554	116.338893486	46.875887
41133	36413874	-2.042051	0.880059	9.460349	-0.015916	0.050634	-0.009578	39.979427553	116.338893485	46.877536
41134	36413899	-2.083476	0.871657	9.500201	-0.013183	0.050844	-0.015894	39.979427552	116.338893484	46.877510
41135	36413924	-2.045972	0.939330	9.425956	-0.012104	0.054379	-0.008483	39.979427551	116.338893483	46.877483
41136	36413949	-2.067872	1.002759	9.394219	-0.012912	0.055929	-0.010501	39.979427550	116.338893482	46.877455
41137	36413974	-2.088514	1.064633	9.413037	-0.014615	0.058827	-0.019296	39.979427549	116.338893481	46.877426
41138	36413999	-2.068001	1.058881	9.483543	-0.015391	0.062118	-0.015417	39.979427548	116.338893480	46.877397
41139	36414024	-2.130304	0.966454	9.540392	-0.013281	0.059402	-0.018725	39.979427548	116.338893479	46.877369
41140	36414049	-2.173089	0.930649	9.546903	-0.014214	0.062057	-0.018737	39.979427547	116.338893478	46.877340
41141	36414074	-2.207646	0.882479	9.556035	-0.014693	0.067292	-0.019625	39.979427546	116.338893477	46.878480
41142	36414099	-2.224263	0.869915	9.597231	-0.012957	0.060324	-0.016032	39.979427545	116.338893476	46.878453
41143	36414124	-2.192586	0.919375	9.622676	-0.012082	0.059104	-0.013262	39.979427544	116.338893475	46.878426
41144	36414149	-2.169085	0.900272	9.565430	-0.015169	0.061643	-0.013037	39.979427543	116.338893474	46.878400
41145	36414174	-2.128731	0.937906	9.451176	-0.013933	0.063890	-0.010894	39.979427542	116.338893473	46.878372
41146	36414199	-2.099470	1.012511	9.368971	-0.013530	0.064412	-0.014026	39.979427542	116.338893472	46.878345
41147	36414224	-2.294573	0.996269	9.670765	-0.012848	0.059406	-0.013962	39.979427541	116.338893471	46.878318
41148	36414249	-2.267303	0.967003	9.770447	-0.004305	0.062896	-0.016657	39.979427540	116.338893470	46.878293
