PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z
45345	28485774	-1.965391	0.800679	9.243767	-0.030951	0.008166	-0.066277	-0.004913	0.002003	0.023109
45346	28485799	-1.883840	0.801089	9.130754	-0.036000	0.019395	-0.069839	-0.004709	0.002004	0.022827
45347	28485824	-1.860135	0.875639	9.069835	-0.043443	0.046569	-0.078142	-0.004649	0.002191	0.022675
45348	28485849	-1.785521	0.921170	9.030124	-0.048959	0.064361	-0.086926	-0.004462	0.002305	0.022576
45349	28485874	-1.879222	0.983058	9.051565	-0.053476	0.074761	-0.098151	-0.004696	0.002460	0.022629
45350	28485899	-2.061461	1.038838	9.229875	-0.046246	0.094995	-0.118840	-0.005151	0.002599	0.023075
45351	28485924	-2.209429	1.013393	9.413251	-0.052497	0.107355	-0.130081	-0.005520	0.002536	0.023534
45353	28485949	-2.378969	0.918602	9.378257	-0.055945	0.117025	-0.142747	-0.005944	0.002299	0.023446
45355	28485974	-2.397870	1.000179	9.274764	-0.061725	0.122856	-0.146629	-0.005991	0.002503	0.023188
45356	28485999	-2.486459	0.943291	9.403556	-0.064307	0.120586	-0.150043	-0.006212	0.002361	0.023510
45357	28486024	-2.563710	1.022791	9.482250	-0.066422	0.116654	-0.154391	-0.006405	0.002560	0.023706
45358	28486049	-2.522116	1.036968	9.382559	-0.080153	0.121671	-0.162601	-0.006301	0.002596	0.023457
45359	28486074	-2.322345	0.984684	9.367858	-0.077292	0.125842	-0.167722	-0.005802	0.002465	0.023420
45360	28486099	-2.190147	0.902152	9.354375	-0.084400	0.142173	-0.173058	-0.005471	0.002259	0.023387
45361	28486124	-2.369510	0.829049	9.411221	-0.080480	0.153215	-0.174868	-0.005919	0.002076	0.023529
45362	28486149	-2.530750	0.915557	9.467270	-0.087403	0.163074	-0.180148	-0.006322	0.002293	0.023669
45363	28486174	-2.526613	0.904582	9.457919	-0.085290	0.176829	-0.187117	-0.006311	0.002265	0.023646
45364	28486199	-2.268549	1.019029	9.364033	-0.093101	0.176369	-0.182012	-0.005666	0.002552	0.023411
45365	28486224	-2.380512	0.792059	9.373850	-0.102361	0.188509	-0.187063	-0.005945	0.001985	0.023436
45366	28486249	-2.551772	0.898556	9.594897	-0.090599	0.199075	-0.194521	-0.006373	0.002251	0.023989
45367	28486274	-2.598905	0.780074	9.637026	-0.090498	0.207736	-0.195347	-0.006491	0.001954	0.024094
45368	28486299	-2.305120	0.821604	9.552207	-0.088815	0.214985	-0.198402	-0.005756	0.002058	0.023882
45369	28486324	-2.338259	0.693864	9.495903	-0.084025	0.234872	-0.205415	-0.005838	0.001739	0.023741
45370	28486349	-2.360353	0.718506	9.529223	-0.074407	0.248592	-0.210123	-0.005893	0.001800	0.023825
45371	28486374	-2.364167	0.754697	9.420254	-0.061943	0.263439	-0.227116	-0.005902	0.001890	0.023552
45372	28486399	-2.126839	0.970670	9.426460	-0.062637	0.276384	-0.230697	-0.005308	0.002430	0.023568
45373	28486424	-2.085442	0.712684	9.242064	-0.051573	0.301293	-0.248212	-0.005204	0.001785	0.023107
45374	28486449	-2.153360	0.734065	9.418992	-0.027753	0.325015	-0.271720	-0.005373	0.001838	0.023550
45375	28486474	-2.354030	0.581764	9.680424	0.011991	0.338542	-0.297298	-0.005874	0.001456	0.024204
45376	28486499	-2.108371	0.674189	9.565104	0.025837	0.356001	-0.302647	-0.005260	0.001687	0.023915
45377	28486524	-1.766245	0.617159	9.380251	0.037351	0.387280	-0.314938	-0.004404	0.001544	0.023453
45378	28486549	-1.808508	0.711087	9.278161	0.053094	0.433213	-0.324334	-0.004508	0.001778	0.023198
45379	28486574	-1.936388	1.006812	9.324245	0.065576	0.472276	-0.323647	-0.004826	0.002517	0.023314
45380	28486599	-1.582085	0.702249	9.057400	0.068949	0.502695	-0.338824	-0.003940	0.001755	0.022646
45381	28486624	-1.454810	0.601386	8.807154	0.111698	0.551099	-0.369981	-0.003621	0.001502	0.022021
45382	28486649	-1.743888	0.666938	9.300657	0.125279	0.606661	-0.375077	-0.004341	0.001666	0.023255
45383	28486674	-1.844874	0.559459	9.358735	0.139247	0.643915	-0.380218	-0.004593	0.001397	0.023401
45384	28486699	-1.859693	0.393774	9.138735	0.157285	0.696118	-0.381002	-0.004629	0.000982	0.022851
45385	28486724	-1.936764	0.421453	9.104159	0.207806	0.753820	-0.391896	-0.004820	0.001050	0.022765
45386	28486749	-1.811700	0.268301	9.182229	0.229433	0.812718	-0.386553	-0.004506	0.000666	0.022960
45387	28486774	-1.898827	0.221373	9.241873	0.248814	0.868209	-0.375651	-0.004722	0.000548	0.023110
45388	28486799	-1.896337	0.091745	9.294608	0.275481	0.929898	-0.353073	-0.004714	0.000223	0.023242
45389	28486824	-1.616648	0.139829	9.301522	0.280039	0.985509	-0.305033	-0.004013	0.000343	0.023259
45390	28486849	-1.451309	-0.200793	9.139710	0.288113	1.061909	-0.266986	-0.003598	-0.000509	0.022854
45391	28486874	-1.479747	0.347772	9.257128	0.310573	1.148250	-0.232022	-0.003666	0.000862	0.023148
45392	28486899	-1.495453	0.312658	9.464583	0.311737	1.232832	-0.197743	-0.003702	0.000773	0.023667
45393	28486924	-1.643529	0.543234	9.276377	0.333418	1.314997	-0.181638	-0.004070	0.001349	0.023198
45394	28486949	-1.444641	0.738734	9.219776	0.353405	1.409110	-0.164463	-0.003571	0.001837	0.023057
45395	28486974	-1.150831	0.858621	9.169919	0.348567	1.482884	-0.162284	-0.002834	0.002137	0.022931
45396	28486999	-1.074855	0.949574	9.135686	0.362711	1.566927	-0.157030	-0.002642	0.002364	0.022845
45397	28487024	-1.298075	0.883735	9.098152	0.387146	1.672436	-0.173645	-0.003197	0.002199	0.022753
45398	28487049	-1.563304	0.459901	9.103351	0.419574	1.775204	-0.186671	-0.003857	0.001139	0.022768
45399	28487074	-2.136778	0.551547	9.281506	0.442565	1.866508	-0.203490	-0.005287	0.001367	0.023217
45400	28487099	-3.113000	0.166401	10.026537	0.495422	1.951373	-0.219858	-0.007721	0.000403	0.025085
45401	28487124	-4.112029	0.659783	10.577054	0.562344	2.041250	-0.189947	-0.010212	0.001633	0.026470
45402	28487149	-3.104677	0.345623	10.299950	0.509896	2.153185	-0.123808	-0.007692	0.000849	0.025771
45403	28487174	-3.007097	0.397802	9.973455	0.560992	2.278164	-0.089297	-0.007447	0.000978	0.024956
45404	28487199	-3.549924	0.589606	10.185601	0.557342	2.360446	-0.063291	-0.008800	0.001457	0.025491
45405	28487224	-4.066301	1.041417	10.130488	0.586973	2.400100	-0.086355	-0.010089	0.002586	0.025358
45406	28487249	-4.033055	1.392247	9.772356	0.598967	2.442242	-0.115618	-0.010007	0.003464	0.024464
45407	28487274	-3.223349	1.573970	9.406116	0.665159	2.480672	-0.145500	-0.007985	0.003917	0.023543
45408	28487299	-2.541997	1.481314	9.402261	0.687018	2.563449	-0.182119	-0.006279	0.003685	0.023529
45409	28487324	-2.181258	1.471910	10.051625	0.696868	2.652396	-0.221464	-0.005369	0.003659	0.025150
45410	28487349	-1.871874	1.614590	10.217405	0.738794	2.723497	-0.280341	-0.004591	0.004014	0.025563
45411	28487374	-0.804697	1.936128	10.197174	0.701766	2.798379	-0.310454	-0.001921	0.004819	0.025504
45412	28487399	-0.313560	0.796186	9.703228	0.720106	2.915196	-0.390683	-0.000695	0.001969	0.024262
45413	28487424	-1.243465	-0.668160	9.429188	0.870302	3.124432	-0.497273	-0.003018	-0.001694	0.023583
45414	28487449	-2.244708	-0.403624	10.013644	0.924504	3.342170	-0.536572	-0.005508	-0.001034	0.025056
45415	28487474	-2.103550	-0.820866	9.792782	0.960248	3.456317	-0.563990	-0.005155	-0.002078	0.024502
45416	28487499	-1.791100	-0.237260	9.320309	0.983807	3.533333	-0.590841	-0.004375	-0.000619	0.023319
45417	28487524	-2.545474	0.484265	8.946915	0.972270	3.628436	-0.633969	-0.006261	0.001188	0.022397
45418	28487549	-3.829661	-0.082129	9.501825	1.038302	3.731043	-0.731020	-0.009463	-0.000228	0.023799
45419	28487574	-4.460051	0.095220	8.226236	1.109915	3.883328	-0.854968	-0.011050	0.000221	0.020620
45420	28487599	-3.925065	0.318637	9.572619	1.151067	4.111263	-0.920843	-0.009689	0.000773	0.023983
45421	28487624	-2.629413	0.505326	10.035110	0.999533	4.148914	-0.990458	-0.006442	0.001240	0.025123
45422	28487649	-1.470605	-0.283989	8.365102	0.911837	4.221152	-1.118406	-0.003567	-0.000729	0.020931
45423	28487674	-2.206862	-0.209485	8.495463	1.186110	4.496899	-1.310871	-0.005399	-0.000546	0.021268
45424	28487699	-2.571478	-0.892821	13.267653	1.464748	4.680886	-1.471066	-0.006239	-0.002281	0.033202
45425	28487724	-0.580771	-1.936421	16.168321	1.726874	4.758647	-1.658826	-0.001222	-0.004926	0.040418
45426	28487749	0.302414	-1.572326	17.228015	1.855149	5.044479	-1.809624	0.001019	-0.004033	0.043055
45427	28487774	-3.309776	0.565360	16.122560	1.980388	5.353918	-1.942696	-0.008001	0.001333	0.040364
45428	28487799	-5.365446	2.387010	10.916809	1.803534	5.354207	-1.989425	-0.013216	0.005939	0.027394
45429	28487824	-4.858256	2.474986	6.219771	1.785337	5.401144	-2.091268	-0.012024	0.006184	0.015645
45430	28487849	-3.317495	5.838953	9.254080	1.782981	5.521873	-2.269456	-0.008092	0.014569	0.023224
45431	28487874	-2.398635	7.661744	13.563180	1.485253	5.626971	-2.404652	-0.005700	0.019109	0.033984
