PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
41405	20357824	9.294826	-0.812356	2.639132	0.024635	-0.023223	0.004803	-22.083486	-74.860603	118.837261	39.979542704	116.338914667	50.327206
41406	20357849	9.292052	-0.779397	2.661846	0.025086	-0.026423	0.006756	-22.087819	-74.864532	118.845430	39.979542699	116.338914670	50.327033
41407	20357874	9.296042	-0.805703	2.704336	0.026330	-0.022620	0.010972	-22.093288	-74.867728	118.854960	39.979542694	116.338914673	50.331748
41408	20357899	9.295859	-0.870523	2.743992	0.033179	-0.020804	0.014167	-22.098984	-74.870510	118.865743	39.979542689	116.338914676	50.331580
41409	20357924	9.322028	-0.858194	2.754711	0.034149	-0.026268	0.013173	-22.105147	-74.874072	118.877153	39.979542684	116.338914679	50.331410
41410	20357949	9.301310	-0.837684	2.785337	0.032075	-0.032072	0.010648	-22.111530	-74.878539	118.888482	39.979542679	116.338914682	50.331241
41411	20357974	9.326147	-0.817061	2.788077	0.030237	-0.034496	0.013211	-22.119924	-74.883189	118.901622	39.979542674	116.338914685	50.331071
41412	20357999	9.348161	-0.830812	2.794690	0.031848	-0.036408	0.012664	-22.128207	-74.888122	118.914886	39.979542669	116.338914688	50.330901
41413	20358024	9.346812	-0.818422	2.785436	0.028613	-0.045529	0.016414	-22.140627	-74.894063	118.931955	39.979542664	116.338914691	50.330731
41414	20358049	9.371694	-0.805949	2.764201	0.019723	-0.042452	0.013892	-22.152478	-74.899730	118.947114	39.979542659	116.338914694	50.330560
41415	20358074	9.375870	-0.803152	2.749597	0.021559	-0.044693	0.016798	-22.165953	-74.905536	118.964228	39.979542654	116.338914697	50.336285
41416	20358099	9.402194	-0.790580	2.700435	0.019006	-0.041758	0.013700	-22.177693	-74.911120	118.979165	39.979542649	116.338914700	50.336121
41417	20358124	9.391183	-0.812513	2.676426	0.015029	-0.038502	0.014985	-22.189991	-74.916202	118.994090	39.979542644	116.338914703	50.335956
41418	20358149	9.427122	-0.798631	2.645870	0.010790	-0.037155	0.011684	-22.201010	-74.921282	119.007062	39.979542638	116.338914706	50.335792
41419	20358174	9.410636	-0.827376	2.604561	0.010718	-0.037555	0.010365	-22.211479	-74.926487	119.019452	39.979542633	116.338914709	50.335627
41420	20358199	9.413508	-0.796999	2.575426	0.000757	-0.032574	0.012475	-22.223419	-74.930916	119.031889	39.979542628	116.338914712	50.335463
41421	20358224	9.419053	-0.831275	2.542055	0.001889	-0.032063	0.012551	-22.235139	-74.935273	119.044265	39.979542623	116.338914715	50.335298
41422	20358249	9.398407	-0.850431	2.523338	0.001229	-0.027063	0.012355	-22.245856	-74.938977	119.055504	39.979542618	116.338914718	50.335134
41423	20358274	9.397044	-0.854566	2.510035	0.000444	-0.026974	0.009957	-22.255492	-74.942798	119.065507	39.979542612	116.338914721	50.335325
41424	20358299	9.405316	-0.860035	2.511348	-0.003363	-0.023890	0.008169	-22.264174	-74.946308	119.073957	39.979542607	116.338914724	50.335160
41427	20358324	9.384700	-0.854454	2.488752	-0.003068	-0.028004	0.012694	-22.275879	-74.950116	119.085581	39.979542602	116.338914727	50.334995
41428	20358349	9.408181	-0.861251	2.466133	-0.000253	-0.023030	0.011016	-22.285355	-74.953356	119.095314	39.979542597	116.338914730	50.334829
41429	20358374	9.375105	-0.880477	2.455386	-0.001104	-0.022031	0.009634	-22.289725	-74.955921	119.104342	39.979542667	116.338915041	50.345731
41430	20358399	9.394409	-0.857089	2.463478	0.004767	-0.024782	0.008672	-22.297686	-74.959519	119.113251	39.979542661	116.338915044	50.345594
41431	20358424	9.365583	-0.833579	2.428955	0.006154	-0.025001	0.015026	-22.308632	-74.962802	119.125456	39.979542656	116.338915047	50.345456
41432	20358449	9.382077	-0.858360	2.435536	0.010811	-0.021730	0.009847	-22.315697	-74.965931	119.134334	39.979542651	116.338915050	50.345318
41433	20358474	9.361387	-0.869392	2.435475	0.014003	-0.024781	0.013706	-22.324831	-74.969255	119.145827	39.979542646	116.338915053	50.341256
41434	20358499	9.346205	-0.847434	2.454186	0.018957	-0.015451	0.011036	-22.330050	-74.971488	119.154002	39.979542640	116.338915056	50.341113
41435	20358524	9.346205	-0.843330	2.460829	0.024734	-0.016755	0.009198	-22.333801	-74.973993	119.161513	39.979542635	116.338915059	50.340969
41436	20358549	9.339260	-0.831049	2.488796	0.021796	-0.012289	0.014949	-22.339908	-74.975593	119.171027	39.979542630	116.338915062	50.340825
41437	20358574	9.332236	-0.838117	2.539323	0.022785	-0.010908	0.014202	-22.345226	-74.977051	119.179871	39.979542625	116.338915065	50.340680
41438	20358599	9.308730	-0.845110	2.568521	0.019278	-0.012332	0.016059	-22.352253	-74.978596	119.189964	39.979542619	116.338915068	50.340534
41439	20358624	9.315508	-0.816456	2.631119	0.019971	-0.013278	0.020275	-22.361456	-74.980036	119.202413	39.979542614	116.338915071	50.340388
41440	20358649	9.304416	-0.816540	2.655075	0.020181	-0.014751	0.019397	-22.370498	-74.981718	119.214726	39.979542609	116.338915074	50.340241
41441	20358674	9.293343	-0.785027	2.693732	0.014600	-0.016007	0.023563	-22.382653	-74.983340	119.229435	39.979542603	116.338915077	50.335236
41442	20358699	9.282236	-0.792029	2.726947	0.017639	-0.017527	0.019819	-22.392836	-74.985366	119.242553	39.979542598	116.338915080	50.335083
41443	20358724	9.244935	-0.782563	2.770864	0.010431	-0.020052	0.023907	-22.406588	-74.987503	119.258297	39.979542593	116.338915082	50.334930
41444	20358749	9.258685	-0.796351	2.774783	0.013332	-0.026709	0.023811	-22.421238	-74.990525	119.275399	39.979542587	116.338915085	50.334775
41445	20358774	9.250444	-0.772943	2.776227	0.007659	-0.031225	0.026156	-22.438785	-74.994016	119.294661	39.979542582	116.338915088	50.334620
41446	20358799	9.276612	-0.778454	2.778867	0.014657	-0.037931	0.023329	-22.455312	-74.998548	119.313903	39.979542576	116.338915091	50.334464
41447	20358824	9.262824	-0.781232	2.781523	0.011314	-0.042552	0.023431	-22.473323	-75.003684	119.334186	39.979542571	116.338915094	50.334307
41448	20358849	9.275293	-0.797620	2.746862	0.011310	-0.047740	0.027770	-22.494554	-75.009267	119.357801	39.979542565	116.338915097	50.334150
41449	20358874	9.307069	-0.779603	2.720366	0.010370	-0.044619	0.020790	-22.511846	-75.014819	119.377198	39.979542560	116.338915100	50.328220
41450	20358899	9.318165	-0.779504	2.692438	0.010936	-0.044359	0.021109	-22.529175	-75.020317	119.396717	39.979542554	116.338915102	50.328056
41451	20358924	9.312754	-0.771122	2.653919	0.013617	-0.040720	0.023200	-22.546420	-75.025217	119.416547	39.979542548	116.338915105	50.327892
41452	20358949	9.319724	-0.776496	2.618006	0.017148	-0.037473	0.020400	-22.561119	-75.029840	119.434263	39.979542543	116.338915108	50.327727
41453	20358974	9.355607	-0.787380	2.592709	0.017220	-0.030825	0.020272	-22.574386	-75.033589	119.450508	39.979542537	116.338915111	50.327561
41454	20358999	9.372189	-0.781870	2.576752	0.025398	-0.025922	0.022277	-22.586473	-75.036579	119.466743	39.979542532	116.338915114	50.327395
