PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
33862	5716449	13.966518	-0.803464	0.007166	-0.098734	-0.360915	-0.035608	-109.567788	-81.897651	103.839168	39.978973595	116.338971864	46.410052
33863	5716474	14.142474	-1.037481	0.037107	-0.069885	-0.332871	0.002284	-109.897584	-81.881486	104.162121	39.978973590	116.338971841	46.415437
33864	5716499	14.321013	-1.255371	0.144210	-0.061777	-0.299767	0.049751	-110.177376	-81.860316	104.435745	39.978973585	116.338971818	46.415061
33865	5716524	14.513241	-1.498063	0.272494	-0.074562	-0.265352	0.097564	-110.408688	-81.834259	104.658560	39.978973580	116.338971795	46.414714
33866	5716549	14.596406	-1.804219	0.452386	-0.085823	-0.222057	0.134118	-110.587048	-81.805357	104.826263	39.978973576	116.338971772	46.414398
33867	5716574	14.628590	-2.006037	0.689758	-0.118120	-0.184853	0.161006	-110.724892	-81.774665	104.948371	39.978973571	116.338971748	46.414116
33868	5716599	14.707650	-2.194022	0.933840	-0.146383	-0.157698	0.186431	-110.831832	-81.741911	105.035170	39.978973566	116.338971725	46.413861
33869	5716624	14.751071	-2.251431	1.163695	-0.183631	-0.146367	0.213496	-110.923433	-81.706091	105.101085	39.978973562	116.338971702	46.413637
33870	5716649	14.863575	-2.241117	1.371284	-0.213905	-0.128758	0.236587	-110.994511	-81.668071	105.141883	39.978973557	116.338971678	46.413445
33871	5716674	14.955487	-2.215724	1.548281	-0.248987	-0.118320	0.263290	-111.051281	-81.627011	105.163143	39.978973552	116.338971654	46.411973
33872	5716699	15.079103	-2.179277	1.725349	-0.289051	-0.105517	0.290400	-111.092386	-81.582984	105.162772	39.978973548	116.338971630	46.411845
33873	5716724	15.227548	-2.115297	1.917116	-0.325765	-0.084274	0.309981	-111.112655	-81.537437	105.136020	39.978973543	116.338971606	46.411750
33874	5716749	15.363589	-1.964852	2.154393	-0.347994	-0.073472	0.332451	-111.118742	-81.489444	105.091706	39.978973539	116.338971582	46.411690
33875	5716774	15.531399	-1.785484	2.375857	-0.345285	-0.061831	0.357449	-111.105761	-81.438712	105.028497	39.978973534	116.338971557	46.411669
33876	5716799	15.610885	-1.646115	2.639640	-0.331609	-0.060430	0.382280	-111.081600	-81.384731	104.955955	39.978973530	116.338971532	46.411680
33877	5716824	15.679385	-1.535579	2.867452	-0.301032	-0.074753	0.417013	-111.054525	-81.325364	104.884884	39.978973525	116.338971507	46.411726
33878	5716849	15.684443	-1.442875	3.105747	-0.266931	-0.084423	0.441825	-111.023375	-81.262178	104.814620	39.978973521	116.338971482	46.411809
33879	5716874	15.712961	-1.466827	3.269271	-0.227842	-0.107317	0.461401	-111.000667	-81.195194	104.758547	39.978973516	116.338971456	46.406472
33880	5716899	15.774857	-1.436722	3.330599	-0.186692	-0.114942	0.471677	-110.975841	-81.126440	104.706290	39.978973512	116.338971430	46.406620
33881	5716924	15.820116	-1.196776	3.540181	-0.137235	-0.121750	0.466225	-110.952114	-81.058064	104.662305	39.978973508	116.338971404	46.406804
33882	5716949	15.786744	-1.024278	3.782785	-0.075242	-0.131345	0.473514	-110.925799	-80.988218	104.624683	39.978973504	116.338971377	46.407025
33883	5716974	15.713507	-1.001351	3.886454	-0.010543	-0.159629	0.480144	-110.912300	-80.916037	104.609415	39.978973500	116.338971350	46.407280
33884	5716999	15.593808	-0.915863	3.866744	0.046133	-0.191656	0.485836	-110.915725	-80.841456	104.619507	39.978973496	116.338971323	46.407571
33885	5717024	15.472920	-0.814999	3.772608	0.092416	-0.211741	0.479606	-110.930931	-80.766680	104.648251	39.978973492	116.338971295	46.407896
33886	5717049	15.376965	-0.663226	3.654712	0.125396	-0.228360	0.483146	-110.953536	-80.690579	104.689284	39.978973488	116.338971267	46.408254
33887	5717074	15.307134	-0.547229	3.549999	0.147405	-0.237915	0.478983	-110.981506	-80.614542	104.738963	39.978973485	116.338971239	46.413130
33888	5717099	15.339188	-0.478017	3.441212	0.166926	-0.250253	0.474870	-111.017238	-80.538418	104.799352	39.978973481	116.338971211	46.413558
33889	5717124	15.325728	-0.402058	3.358996	0.181314	-0.266966	0.478205	-111.062425	-80.460981	104.871429	39.978973478	116.338971182	46.414019
33890	5717149	15.276632	-0.365644	3.190138	0.175229	-0.291823	0.475152	-111.128069	-80.382659	104.963386	39.978973475	116.338971153	46.414513
33891	5717174	15.258995	-0.509323	2.995528	0.155038	-0.314432	0.476205	-111.212673	-80.303006	105.071663	39.978973472	116.338971123	46.415037
33892	5717199	15.212452	-0.620048	2.791710	0.128627	-0.325146	0.471222	-111.309280	-80.223434	105.188306	39.978973469	116.338971094	46.415594
33893	5717224	15.192109	-0.762390	2.586423	0.084971	-0.335422	0.468302	-111.419163	-80.143680	105.312103	39.978973466	116.338971064	46.416184
33894	5717249	15.105636	-0.901941	2.366482	0.024585	-0.350368	0.473745	-111.545522	-80.062373	105.443876	39.978973464	116.338971034	46.416805
33895	5717274	15.008305	-1.071401	2.066678	-0.041559	-0.358902	0.470901	-111.686509	-79.980941	105.580916	39.978973461	116.338971003	46.420265
33896	5717299	14.864110	-1.249158	1.764181	-0.112651	-0.355205	0.479324	-111.830124	-79.898526	105.710315	39.978973458	116.338970973	46.420952
33897	5717324	14.729733	-1.410054	1.400499	-0.194564	-0.343807	0.476331	-111.975685	-79.817062	105.829805	39.978973456	116.338970942	46.421669
33898	5717349	14.595273	-1.586312	1.066109	-0.286016	-0.324027	0.480808	-112.116365	-79.736015	105.931056	39.978973454	116.338970911	46.422417
33899	5717374	14.473136	-1.785974	0.742238	-0.366446	-0.295962	0.476809	-112.247434	-79.656972	106.010852	39.978973451	116.338970880	46.423191
33900	5717399	14.339951	-1.978801	0.437034	-0.435595	-0.258550	0.474653	-112.360460	-79.580220	106.062257	39.978973449	116.338970849	46.423997
33901	5717424	14.231549	-2.173036	0.145110	-0.499776	-0.212877	0.461835	-112.452585	-79.507642	106.083070	39.978973447	116.338970818	46.424832
33902	5717449	14.150729	-2.323308	-0.143974	-0.547294	-0.158289	0.448324	-112.515948	-79.439838	106.067711	39.978973445	116.338970787	46.425695
33903	5717474	14.116675	-2.455828	-0.379840	-0.577414	-0.098912	0.430045	-112.546773	-79.377713	106.014861	39.978973442	116.338970756	46.430509
33904	5717499	14.049538	-2.533519	-0.584909	-0.583218	-0.045183	0.409381	-112.546876	-79.321275	105.929892	39.978973440	116.338970724	46.431432
33905	5717524	14.078966	-2.602821	-0.824484	-0.578211	0.003260	0.396484	-112.516613	-79.269199	105.814733	39.978973438	116.338970693	46.432384
33906	5717549	14.142589	-2.769916	-1.017809	-0.559768	0.055188	0.388098	-112.450714	-79.221060	105.665971	39.978973436	116.338970661	46.433365
33907	5717574	14.231125	-2.920496	-1.248359	-0.533497	0.094305	0.364751	-112.361553	-79.178110	105.497335	39.978973434	116.338970630	46.434378
33908	5717599	14.304640	-3.003479	-1.494586	-0.504895	0.139231	0.351794	-112.241932	-79.139262	105.301835	39.978973431	116.338970599	46.435418
33909	5717624	14.273490	-3.043882	-1.748741	-0.462931	0.187793	0.349253	-112.084660	-79.103287	105.074091	39.978973429	116.338970567	46.436489
33910	5717649	14.211982	-3.120012	-1.981728	-0.436915	0.235796	0.350542	-111.891538	-79.069583	104.813606	39.978973427	116.338970536	46.437590
33911	5717674	13.458700	-3.588918	-1.231341	-0.391068	0.244235	0.348480	-111.688018	-79.036432	104.549190	39.978973424	116.338970505	46.439429
33912	5717699	13.196879	-3.948651	1.932076	0.037238	-0.288811	0.262609	-111.812973	-78.986377	104.681842	39.978973422	116.338970473	46.440583
