PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
26988	3919715	12.894640	-1.202635	-1.485591	0.232951	1.260274	0.733112	-89.282085	-79.684709	33.321620
26989	3919740	12.889905	-1.351810	-1.330612	0.218806	1.344665	0.749675	-88.215199	-79.573617	32.268871
26990	3919765	12.791726	-1.386618	-1.196612	0.223467	1.426744	0.754898	-87.107365	-79.457721	31.174775
26991	3919790	12.818847	-1.405118	-1.031967	0.230901	1.491333	0.758453	-85.973892	-79.336887	30.055257
26992	3919815	12.825279	-1.481287	-0.893998	0.268497	1.548977	0.757871	-84.817327	-79.211387	28.917075
26993	3919840	12.919364	-1.765396	-0.657173	0.322609	1.593223	0.732116	-83.645133	-79.084636	27.770585
26994	3919865	12.902161	-2.010612	-0.542334	0.405041	1.613657	0.690738	-82.469341	-78.959019	26.631968
26995	3919890	12.824406	-2.192707	-0.380897	0.511221	1.630993	0.618081	-81.284418	-78.838915	25.499071
26996	3919915	12.697101	-2.321133	-0.235256	0.629233	1.629835	0.542997	-80.099189	-78.724972	24.382452
26997	3919940	12.471050	-2.379063	-0.173146	0.742582	1.619247	0.449925	-78.916008	-78.619944	23.284241
26998	3919965	12.162351	-2.333937	-0.088101	0.856019	1.597881	0.359339	-77.739074	-78.523823	22.208592
26999	3919990	11.869073	-2.219881	-0.050712	0.973209	1.577796	0.284951	-76.566103	-78.434381	21.153765
27000	3920015	11.545783	-2.121904	-0.135614	1.089002	1.546127	0.219134	-75.403751	-78.350915	20.126208
27001	3920040	11.233358	-2.072040	-0.199414	1.196778	1.517238	0.153886	-74.249034	-78.273386	19.122091
27002	3920065	10.879752	-2.075647	-0.337810	1.302813	1.492022	0.115331	-73.102559	-78.198104	18.141631
27003	3920090	10.552288	-2.066986	-0.446918	1.413581	1.471007	0.079401	-71.960113	-78.124657	17.181232
27004	3920115	10.282601	-2.099386	-0.576113	1.515343	1.458323	0.051339	-70.818146	-78.051690	16.235792
27005	3920140	10.092748	-2.197909	-0.710736	1.615213	1.451156	0.036389	-69.676004	-77.977207	15.304708
27006	3920165	9.851871	-2.237556	-0.773381	1.702598	1.442342	0.025216	-68.537177	-77.900837	14.389554
27007	3920190	9.536662	-2.285233	-0.880088	1.780857	1.439603	0.010085	-67.398148	-77.822837	13.485394
27008	3920215	9.540923	-2.324787	-0.969337	1.863727	1.425645	0.012387	-66.269488	-77.741576	12.603562
27011	3920240	9.632176	-2.473834	-1.194343	1.948336	1.416799	0.029828	-65.152335	-77.654916	11.745787
27012	3920265	9.707983	-2.696063	-1.341177	2.041225	1.427003	0.038926	-64.032504	-77.562901	10.898600
27013	3920290	9.779531	-2.935019	-1.452215	2.136945	1.439422	0.031756	-62.904422	-77.467462	10.056699
27014	3920315	9.775132	-3.126261	-1.430222	2.197431	1.464230	0.007029	-61.761276	-77.369923	9.207789
27015	3920340	9.722573	-3.081182	-1.330232	2.252103	1.466185	-0.022556	-60.615613	-77.272288	8.364139
27016	3920365	9.613999	-2.979257	-1.365993	2.322757	1.451669	-0.048331	-59.474879	-77.175215	7.535597
27017	3920390	9.546727	-2.909026	-1.410894	2.403542	1.445807	-0.059109	-58.337195	-77.076274	6.721730
27018	3920415	9.557836	-2.801938	-1.382711	2.477380	1.437618	-0.052434	-57.210411	-76.973587	5.929457
27019	3920440	9.617969	-2.893283	-1.240999	2.536110	1.415359	-0.036213	-56.107365	-76.867269	5.169974
27020	3920465	9.701471	-3.017616	-1.093897	2.564421	1.370451	-0.027385	-55.040882	-76.760311	4.451878
27021	3920490	9.779465	-3.063561	-0.938619	2.571195	1.311757	-0.017136	-54.020187	-76.654070	3.781513
27022	3920515	9.892211	-2.956929	-0.781268	2.537700	1.231312	-0.023730	-53.053869	-76.552780	3.161731
27023	3920540	9.948570	-2.785489	-0.645297	2.481285	1.140466	-0.026001	-52.149462	-76.457323	2.597147
27024	3920565	9.969011	-2.608723	-0.458580	2.408007	1.036534	-0.036143	-51.310092	-76.370233	2.088459
27025	3920590	10.007676	-2.356119	-0.351468	2.329476	0.926590	-0.045990	-50.536772	-76.292492	1.635990
27026	3920615	10.125217	-1.998502	-0.348843	2.242507	0.811062	-0.046189	-49.834338	-76.223998	1.243449
27027	3920640	10.281433	-1.625819	-0.366150	2.148777	0.695578	-0.039844	-49.204074	-76.164473	0.911374
27028	3920665	10.390573	-1.363221	-0.353282	2.042935	0.587567	-0.018817	-48.648123	-76.112026	0.640147
27029	3920690	10.430850	-1.110272	-0.337753	1.940561	0.477167	0.000839	-48.165022	-76.067384	0.428806
27030	3920715	10.428334	-0.864289	-0.287830	1.813436	0.365691	0.023523	-47.758623	-76.030629	0.277619
27031	3920740	10.626139	-0.799286	-0.039137	1.696105	0.249380	0.047508	-47.429068	-76.002338	0.188362
27032	3920765	10.832360	-0.790202	0.108459	1.591555	0.124021	0.058723	-47.172488	-75.984934	0.158872
27033	3920790	10.971181	-0.903149	0.154631	1.500560	-0.002709	0.065477	-46.985121	-75.979156	0.187284
27034	3920815	11.096359	-1.116034	0.086205	1.405182	-0.125842	0.068702	-46.864319	-75.985107	0.270141
27035	3920840	11.238009	-1.394982	-0.002298	1.311926	-0.237286	0.067754	-46.803236	-76.002107	0.400857
27036	3920865	11.380286	-1.827348	0.129212	1.219084	-0.345242	0.060965	-46.798220	-76.030420	0.575635
27037	3920890	11.469123	-2.245459	0.162414	1.135815	-0.446217	0.054750	-46.845605	-76.069263	0.792091
27038	3920915	11.586395	-2.779712	0.312186	1.070139	-0.550980	0.025517	-46.935973	-76.121359	1.043019
27039	3920940	11.590897	-3.229976	0.460839	1.010685	-0.654009	-0.010514	-47.065876	-76.187175	1.325905
27040	3920965	11.437759	-3.456756	0.442824	0.974697	-0.753458	-0.052209	-47.229161	-76.266884	1.637765
27041	3920990	11.252989	-3.557223	0.478247	0.949014	-0.843597	-0.094855	-47.421099	-76.359606	1.975215
27042	3921015	10.962646	-3.511536	0.406526	0.925689	-0.928358	-0.140530	-47.638991	-76.465069	2.335729
27043	3921040	10.606373	-3.287190	0.379244	0.909292	-0.997049	-0.180522	-47.878318	-76.581045	2.715760
27044	3921065	10.273555	-2.996881	0.348094	0.855515	-1.054399	-0.194053	-48.151206	-76.703560	3.122180
27045	3921090	9.982966	-2.876067	0.413418	0.797657	-1.106081	-0.197591	-48.460971	-76.830899	3.557759
27046	3921115	9.685482	-2.800537	0.464000	0.737788	-1.154276	-0.219537	-48.800103	-76.964596	4.014409
27047	3921140	9.404668	-2.645222	0.508224	0.677681	-1.191338	-0.233260	-49.168049	-77.102615	4.491586
27048	3921165	9.086526	-2.495587	0.596232	0.630153	-1.221275	-0.260390	-49.555236	-77.245668	4.981246
27049	3921190	8.809585	-2.288532	0.764202	0.587333	-1.254500	-0.280954	-49.966322	-77.393283	5.488834
27050	3921215	8.608509	-2.067580	0.908305	0.550603	-1.286795	-0.303491	-50.400355	-77.545518	6.014207
27051	3921240	8.430741	-1.927764	1.030892	0.514920	-1.313265	-0.317146	-50.859177	-77.700773	6.559450
27052	3921265	8.237834	-1.797520	1.146819	0.479883	-1.345969	-0.328757	-51.347993	-77.859293	7.129923
27053	3921290	8.097059	-1.715581	1.313097	0.466621	-1.373065	-0.339879	-51.862405	-78.020410	7.724285
27054	3921315	7.909545	-1.674743	1.436751	0.479947	-1.394236	-0.337854	-52.402236	-78.182012	8.346186
27055	3921340	7.825452	-1.729739	1.440520	0.522137	-1.410739	-0.342129	-52.959351	-78.344297	8.991579
27056	3921365	7.717960	-1.766877	1.445664	0.580775	-1.422280	-0.358539	-53.524552	-78.508161	9.653419
27057	3921390	7.668333	-1.702449	1.503018	0.646677	-1.418693	-0.361137	-54.094711	-78.670699	10.329564
27058	3921415	7.621475	-1.694262	1.517618	0.696499	-1.416829	-0.368107	-54.671667	-78.832548	11.019504
27059	3921440	7.511111	-1.705475	1.579953	0.750860	-1.406563	-0.365666	-55.254106	-78.991894	11.722612
27060	3921465	7.389642	-1.749819	1.667391	0.788801	-1.389196	-0.367993	-55.838105	-79.148723	12.432467
27061	3921490	7.302579	-1.787325	1.768224	0.807003	-1.375857	-0.367867	-56.429943	-79.303083	13.152587
27062	3921515	7.184275	-1.774733	1.738952	0.815107	-1.357324	-0.368397	-57.027489	-79.454646	13.879305
